date,expiration,contractLength,type,strike,bid,ask,midpoint,blackScholesPrice,stockPriceAtExpiration,profitable,return
2018-06-01,2018-06-11,10,call,281.0,0.03,0.04,0.035,0.18362460376854628,278.44,False,144.4444444444432
2018-06-01,2018-06-11,10,call,282.0,0.02,0.03,0.025,0.12302847858900812,278.44,False,144.4444444444432
2018-06-01,2018-06-11,10,call,283.0,0.01,0.02,0.015,0.08060700878480631,278.44,False,144.4444444444432
2018-06-01,2018-06-11,10,call,284.0,0.01,0.02,0.015,0.05163435513275516,278.44,False,144.4444444444432
2018-06-01,2018-06-11,10,call,285.0,0.01,0.02,0.015,0.03233173030034653,278.44,False,144.4444444444432
2018-06-01,2018-06-11,10,call,290.0,0.0,0.01,0.005,0.0022051805360681076,278.44,False,144.4444444444432
2018-06-01,2018-06-13,12,call,225.0,48.59,48.85,48.72,47.779559183206345,279.19,True,11.227422003284069
2018-06-01,2018-06-13,12,call,230.0,43.59,43.86,43.725,42.787771609499856,279.19,True,12.498570611778149
2018-06-01,2018-06-13,12,call,235.0,38.6,38.87,38.735,37.79598403580303,279.19,True,14.082870788692393
2018-06-01,2018-06-13,12,call,240.0,33.62,33.89,33.754999999999995,32.804196466600075,279.19,True,16.101318323211387
2018-06-01,2018-06-13,12,call,245.0,28.64,28.9,28.77,27.812409702935696,279.19,True,18.839068474104963
2018-06-01,2018-06-13,12,call,246.0,27.63,27.9,27.765,26.814053441778952,279.19,True,19.538987934449835
2018-06-01,2018-06-13,12,call,247.0,26.64,26.91,26.775,25.815698931594,279.19,True,20.22408963585434
2018-06-01,2018-06-13,12,call,248.0,25.64,25.91,25.775,24.81734837040503,279.19,True,21.008729388942772
2018-06-01,2018-06-13,12,call,249.0,24.66,24.92,24.79,23.819006402634955,279.19,True,21.7829770068576
2018-06-01,2018-06-13,12,call,250.0,23.66,23.92,23.79,22.820682485674837,279.19,True,22.698612862547286
2018-06-01,2018-06-13,12,call,251.0,22.67,22.94,22.805,21.822395183456507,279.19,True,23.613242709932024
2018-06-01,2018-06-13,12,call,252.0,21.67,21.94,21.805,20.824179630661945,279.19,True,24.69617060307268
2018-06-01,2018-06-13,12,call,253.0,20.68,20.94,20.810000000000002,19.82609995805379,279.19,True,25.852955309947117
2018-06-01,2018-06-13,12,call,254.0,19.69,19.95,19.82,18.82826907880846,279.19,True,27.0938446014127
2018-06-01,2018-06-13,12,call,255.0,18.7,18.96,18.83,17.83087878856631,279.19,True,28.465215082315453
2018-06-01,2018-06-13,12,call,256.0,17.71,17.97,17.84,16.834243426494567,279.19,True,29.98878923766815
2018-06-01,2018-06-13,12,call,257.0,16.72,16.98,16.85,15.838860101870665,279.19,True,31.691394658753687
2018-06-01,2018-06-13,12,call,258.0,15.74,15.99,15.865,14.845487392773691,279.19,True,33.56445004727386
2018-06-01,2018-06-13,12,call,259.0,14.76,15.01,14.885,13.855242194737968,279.19,True,35.63990594558279
2018-06-01,2018-06-13,12,call,260.0,13.78,14.03,13.905,12.869710921734708,279.19,True,38.007910823444796
2018-06-01,2018-06-13,12,call,260.5,13.3,13.54,13.42,12.379366067399616,279.19,True,39.26974664679581
2018-06-01,2018-06-13,12,call,261.0,12.81,13.06,12.935,11.891066714193471,279.19,True,40.62620796289136
2018-06-01,2018-06-13,12,call,261.5,12.32,12.57,12.445,11.405194254894354,279.19,True,42.145439935717135
2018-06-01,2018-06-13,12,call,262.0,11.84,12.09,11.965,10.922179254461781,279.19,True,43.66903468449643
2018-06-01,2018-06-13,12,call,262.5,11.36,11.61,11.485,10.442503174104502,279.19,True,45.319982585981705
2018-06-01,2018-06-13,12,call,263.0,10.88,11.13,11.005,9.966699201919539,279.19,True,47.11494775102223
2018-06-01,2018-06-13,12,call,263.5,10.4,10.65,10.525,9.495352026345103,279.19,True,49.07363420427551
2018-06-01,2018-06-13,12,call,264.0,9.92,10.16,10.04,9.029096404734133,279.19,True,51.294820717131465
2018-06-01,2018-06-13,12,call,264.5,9.45,9.69,9.57,8.568614404352104,279.19,True,53.500522466039676
2018-06-01,2018-06-13,12,call,265.0,8.98,9.22,9.100000000000001,8.11463122690347,279.19,True,55.93406593406588
